rank,language,name,requests_per_second,description
120,Go,"evio-stdlib",5124570,"evio [evio-stdlib] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #702]"
121,Scala,"blaze",5019345,"blaze [blaze] (blaze; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #496]"
122,Scala,"pekko-http",4997891,"pekko-http [pekko-http] (pekko; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1311]"
123,C++,"oatpp-async-no-mp",4889069,"oatpp [oatpp-async-no-mp] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #851]"
124,C,"nginx",4852267,"None [nginx] (None; nginx on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #844]"
125,Crystal,"crystal",4792834,"None [crystal] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #337]"
126,C#,"aspcore-mono-mw",4667242,"asp.net core [aspcore-mono-mw] (.NET; kestrel on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #606]"
127,Scala,"akka-http",4441341,"akka-http [akka-http] (Akka; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #324]"
128,Java,"httpserver-robaho",4416921,"httpserver-robaho [httpserver-robaho] (httpserver; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1397]"
129,Crystal,"crystal-radix",4326096,"None [crystal-radix] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #673]"
130,Java,"servlet",4322921,"None [servlet] (Servlet; Resin on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #18]"
131,Scala,"zio-http",4264760,"zio-http [zio-http] (Netty; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1220]"
132,C++,"oatpp-async",4096969,"oatpp [oatpp-async] (None; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #850]"
133,JavaScript,"elide",4089078,"elide [elide] (elide; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1379]"
134,Python,"fastwsgi",4010093,"FastWSGI [fastwsgi] (wsgi; fastwsgi on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1252]"
135,Rust,"saphir",3957252,"saphir [saphir] (None; None on Linux; MongoDB on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #924]"
136,Go,"evio",3894855,"evio [evio] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #27]"
137,PHP,"workerman",3823887,"workerman [workerman-without-jit] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1471]"
138,Java,"revenj-jvm",3813352,"Revenj.JVM [revenj-jvm] (Servlet; Resin on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #430]"
139,Python,"socketify.py [wsgi pypy3]",3782982,"socketify.py [WSGI PyPy3] [socketify.py-wsgi] (None; socketify.py-wsgi on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1349]"
140,PHP,"php-ngx",3725830,"php-ngx [php-ngx] (ngx_php; nginx on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #869]"
141,Python,"vibora",3579184,"vibora [vibora] (None; None on Linux; Postgres on Linux; Full ORM; Platform class; Realistic approach) [Test #982]"
142,C#,"revenj",3574242,"Revenj [revenj] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #428]"
143,Lua,"openresty",3572411,"openresty [openresty] (OpenResty; nginx on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #50]"
144,PHP,"swoole",3519409,"swoole [swoole] (swoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #949]"
145,PHP,"mark-php8-jit",3486031,"mark-php8-jit [mark] (workerman; None on Linux; None on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1160]"
146,C++,"ltio",3474467,"ltio [ltio] (None; None on Linux; None on Linux; none ORM; Platform class; Realistic approach) [Test #1158]"
147,C++,"cutelyst-thread",3403292,"cutelyst [cutelyst-thread] (cutelystwsgi; None on Linux; None on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #497]"
148,Swift,"swift-nio",3312290,"None [swift-nio] (None; None on Linux; None on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #948]"
