rank,language,name,requests_per_second,description
189,Kotlin,"http4k-jetty11loom-jdbc",332435,"http4k [http4k-jetty11loom-jdbc] (jetty11-loom-jdbc; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1395]"
190,PHP,"comet",331056,"comet [comet] (workerman; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1008]"
191,Kotlin,"http4k-jettyloom-jdbc",330230,"http4k [http4k-jettyloom-jdbc] (jetty-loom-jdbc; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1274]"
192,C#,"beetlex-core",323647,"beetlex [beetlex-core] (.NET; beetlex on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #652]"
193,Java,"spring-webflux-r2dbc",322865,"spring-webflux-r2dbc [spring-webflux] (Netty; None on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1449]"
194,Java,"jooby",321940,"jooby [jooby] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Fullstack class; Realistic approach) [Test #406]"
195,Go,"goravel gin",321517,"Goravel Gin [goravel] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1386]"
196,Clojure,"kit",319071,"Kit [kit] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1281]"
197,PHP,"open swoole",317755,"Open Swoole [openswoole] (openswoole; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1176]"
198,C#,"appmpower [middleware, my, odbc]",317153,"appMpower [Middleware, My, Odbc] [appmpower-odbc-my] (.NET; kestrel on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1104]"
199,PHP,"comet-mysql",315858,"comet-mysql [comet-mysql] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1009]"
200,PHP,"php-workerman",314886,"php-workerman [php-workerman] (workerman; None on Linux; MySQL on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1315]"
201,Ruby,"rack-iodine-mri-sequel-raw",314736,"rack-iodine-mri-sequel-raw [rack-iodine] (mri; iodine on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1431]"
202,Kotlin,"ktor-netty-r2dbc",313805,"ktor-netty-r2dbc [ktor-r2dbc] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1411]"
203,Kotlin,"hexagon tomcat postgresql",305719,"Hexagon Tomcat PostgreSQL [hexagon-tomcat] (Servlet; tomcat on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1139]"
204,Java,"undertow-postgresql",303667,"None [undertow-postgresql] (Undertow; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #219]"
205,vb,"aspcore-vb-mw-ado-my",303594,"asp.net core [aspcore-vb-mw-ado-my] (.NET; kestrel on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #635]"
206,Ur,"urweb-mysql",300857,"urweb [urweb-mysql] (Ur/Web; None on Linux; MySQL on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #247]"
207,Ruby,"roda-sequel-postgres-iodine-mri",298927,"roda-sequel-postgres-iodine-mri [roda-sequel-postgres-iodine-mri] (Rack; iodine on Linux; Postgres on Linux; Full ORM; Micro class; Realistic approach) [Test #1441]"
208,Go,"hertz-gorm",293747,"hertz-gorm [hertz-gorm] (None; None on Linux; Postgres on Linux; Full ORM; Fullstack class; Realistic approach) [Test #1263]"
209,Java,"micronaut data jdbc graalvm",292662,"Micronaut Data JDBC GraalVM [micronaut-data-jdbc-graalvm] (Netty; netty on Linux; Postgres on Linux; Micro ORM; Fullstack class; Realistic approach) [Test #1295]"
210,Clojure,"aleph",290244,"aleph [aleph] (Netty; None on Linux; Postgres on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #325]"
211,JavaScript,"mesh",289201,"Mesh [mesh-postgres] (None; None on Linux; Postgres on Linux; Raw database connectivity, Platform class; Realistic approach) [Test #1416]"
212,Scala,"pekko-http",288342,"pekko-http [pekko-http] (pekko; None on Linux; MySQL on Linux; Raw database connectivity, Micro class; Realistic approach) [Test #1311]"
